Class Index,Title,Description
1,IAEA endorses Iran #39;s N-freeze: US insists on taking action,"VIENNA, Nov 29: Iran escaped UN censure over its nuclear programme on Monday but Washington, which accuses it of seeking an atomic bomb, said it reserved the right to take the case to the Security Council on its own."
1,Study Shows Dogs Able to Smell Cancer,LONDON - It has long been suspected that man's best friend has a special ability to sense when something is wrong with us. Now the first experiment to verify that scientifically has demonstrated that dogs are able to smell cancer...
3,Salvation Army using cardboard bell-ringers to stoke donations,"BIRMINGHAM, Ala. That smiling Salvation Army bell-ringer may look a little frozen in place this holiday season, but it #39;s not because of the cold weather."
4,Future #39;s bright for geckos and sharks,BANGKOK - The future looked brighter for leaf-tailed geckos and great white sharks after a UN meeting on trade in wild plants and animals.
3,Wal-Mart Holds Sales View (Reuters),"Reuters - Wal-Mart Stores Inc. , the\world's largest retailer, said on Saturday it still anticipates\September U.S. sales to be up 2 percent to 4 percent at stores\open at least a year."
3,World Body Wants US To Allow Online Gaming,GENEVA -- A ruling from the World Trade Organization could open the United States to offshore Internet gambling. A WTO panel says the federal government should drop its ban on Americans placing bets at online casinos.
3,Vivendi Ups Forecast After Strong Quarter," PARIS (Reuters) - France's largest media company, Vivendi  Universal, raised its 2004 earnings forecast as it reported a  19 percent increase in third-quarter underlying operating  profit, buoyed by a rebound in music and strong mobile phone  sales."
3,USDA: Mad Cow Test Not Complete," WASHINGTON (Reuters) - Final U.S. government tests on an  animal suspected of having mad cow disease were not yet  complete, the U.S. Agriculture Department said, with no  announcement on the results expected on Monday."
4,Navy Probes New Iraq Photos,"An online photo album showing Navy SEALS with Iraqi prisoners prompts an investigation. A military prosecutor says they're simply evidence of juvenile behavior, but they may violate the Geneva Convention, which prohibits souvenir photos of prisoners of war."
2,Robertson confirmed as Hearts manager,John Robertson has this morning been confirmed as the new Hearts manager. Mr Robertson #39;s arrival follows several days of negotiation with Inverness Caly Thistle over a compensation package for the Highland club.
3,Boston Scientific Buys Stake in Reva,"Medical device maker Boston Scientific Corp. said Tuesday that it made an equity investment in Reva Medical Inc. and secured an exclusive option to purchase the privately held San Diego firm, which is developing "
1,Britain Shocked by Death of Iraq Hostage, BAGHDAD (Reuters) - Washington's closest ally in Iraq was  horrified by the beheading of a British hostage there and Prime  Minister Tony Blair urged Britons not to let it undermine their  support for continued involvement in the country.
2,Cropp Lacks Votes,D.C. Council Chairman Linda W. Cropp said Sunday that she appears short on votes to support her alternative proposal to construct a major league ballpark adjacent to RFK Stadium.
3,Marriott's 3Q Earnings Up 45 Percent,Hotel operator Marriott International Inc. said its third-quarter earnings rose 45 percent as growing demand for rooms helped drive revenue up 9 percent.
3,Stockland Buys Lensworth From Foster #39;s for A\$825 Mln (Update1),"Stockland bought the Lensworth property development business from Foster #39;s Group Ltd. for A\$825 million (\$624 million), becoming Australia #39;s biggest residential property developer."
2,Henin-Hardenne Confirms Filderstadt Withdrawal, BERLIN (Reuters) - Olympic champion Justine Henin-Hardenne  has withdrawn from next week's Porsche Tennis Grand Prix in  Filderstadt because of a mystery virus.
1,Nepal Maoists call for mediation,The top Maoist rebel leader in Nepal  renews a call for international mediation to resume peace talks with the government
1,British Guantanamo Detainee Alleges Abuse from Jail (Reuters),"Reuters - A British detainee at Guantanamo Bay\said in a letter revealed Friday he was tortured and abused\during detention, in what is believed to be the first such\claim to come from inside the prison."
1,Orthodox Church seeks virtual saint,The Russian Orthodox clergy are engaged in an intense debate over providing spiritual guide to internet users.
2,"Salary 20,421 pa Location London Company Epping Forest District &lt;b&gt;...&lt;/b&gt;","The takeover battle for Manchester United Football Club (MUFC) is far from over, as Malcolm Glazer has again increased his share in the worlds richest football club."
1,Body of Turk Engineer Found in Afghanistan,"The latest abduction of a foreigner in Afghanistan - a Turkish engineer working on a US-sponsored road project - ended when the kidnappers killed him, apparently so he wouldn #39;t slow them down with police hot on their trail."
1,Rocco and his brothers,"Jos Manuel Barroso, president-designate of the European commission, has a crisis on his hands. The former Portuguese prime minister won plaudits in the summer for picking his Brussels team without bending to the will of powerful EU governments."
1,NLD MP urges people to sign petition,"Despite intimidation by the ruling Burmese military authorities, the National League for Democracy (NLD) members have continued the signature campaign with increased momentum calling for the release of all political prisoners including NLD leaders Daw ..."
1,Syria confirms killing of Hamas militant in car explosion,"A car explosion in Damascus killed a Hamas militant and injured three others Sunday morning, the official SANA news agency confirmed."
1,"Mark an area, disarm it, decide on freedom or joint control","ISLAMABAD, OCTOBER 25: Just weeks after he told Prime Minister Manmohan Singh in New York that he would get back with ideas on resolving the Kashmir issue, Pakistan President General Pervez Musharraf floated a new one."
4,FCC Clears Cingular Acquisition of AT T (AP),"AP - The Federal Communications Commission gave its approval Tuesday to Cingular Wireless LLC's  #36;41 billion acquisition of AT amp;T Wireless Services Inc., completing the federal regulatory blessing necessary for creation of the country's largest cellphone company."
4,"Lucent, Cingular Ink Wireless Deal (AP)",AP - Lucent Technologies Inc. signed a four-year agreement to supply equipment for Cingular Wireless' rollout of its nationwide 3G high-speed wireless data system.
1,China Ex-President May Be Set to Yield Last Powerful Post,"Jiang Zemin, China's military chief and senior leader, has told Communist Party officials that he plans to resign, two people with leadership connections say."
3,Stocks Open Up After Poor Jobs Report,Stocks bobbed higher Monday morning after two sessions of heavy selling driven by surging oil prices and a disappointing employment report.
3,Stock market indicators turn positive as world oil prices retreat,"TORONTO (CP) - With oil prices receding, North American stock markets seem poised to advance Thursday, the last day of the financial third quarter for many corporations."
1,Report: Officials search Yukos managers' homes (Canadian Press),"Canadian Press - MOSCOW (AP) - Russian authorities have searched the homes of dozens of managers working for the embattled Yukos oil company in what one board member described as a massive campaign reminiscent of the Stalinist purges, a news agency reported Sunday."
2,Gators Fire Zook,"Two days after one of its most embarrassing losses in recent years, the University of Florida has fired head football coach Ron Zook."
2,Receiver refused to lose grip,"The way Larry Lester sees it, there wouldn't be any ups without the downs. The triumphant highs just wouldn't be worth savoring without first having experienced the devastating lows."
4,Light-Based Net May Mean Blazing Connections (NewsFactor),"NewsFactor - If -- as Einstein proclaimed -- nothing can travel faster than the speed of light, then a supercharged Internet based entirely on light might be a great way to move mounting reams of digital data."
1,Senior Chinese Leader to Visit N.Korea Next Week (Reuters),"Reuters - Senior Chinese leader Li Changchun is\to visit North Korea next week, the Xinhua news agency reported\on Saturday as China tries to coax Pyongyang into fresh talks\on the crisis over its nuclear ambitions."
1,Price-Gouging New Worry in Charley's Wake,"ORLANDO, Fla. - The oak tree in Ilyse Kusnetz's back yard caused one headache when it crashed into her house during Hurricane Charley..."
1,Humane law in offing in Manipur: PM,"Imphal, November 21: Prime Minister Manmohan Singh on Sunday expressed the hope that a  quot;humane quot; law that protects national security and human rights of the people of Manipur would be in place as early as possible once the controversial Armed Forces "
2,Ochoa wins LPGA Wachovia Classic,Lorena Ochoa birdied three of the last four holes Sunday to overcome a five-stroke deficit and win the Wachovia LPGA Classic. Ochoa finished with a 65 to score a 19-under 269 for her second career win.
1,North Korea set to allow return for British civil rights &lt;b&gt;...&lt;/b&gt;,North Korea yesterday signalled that it may decide to lift the veil on some of its human rights violations after being challenged to allow the inspection of one of the country #39;s notorious prison 
3,MetLife seen near sale of Hub invest unit,"MetLife Inc. is in late-stage negotiations to sell one of Boston's oldest investment firms, State Street Research  amp; Management Co., to another New York financial giant, BlackRock Inc., according to two executives briefed on the talks."
2,Man U fans in uproar,LONDONFans of the self-styled biggest soccer team in the world are outraged this week following news that Manchester United is subject to a reported takeover bid by Tampa Bay Buccaneers owner Malcolm Glazer.
1,Marines save Syrian hostage ,"FALLUJAH, Iraq -- A Syrian found handcuffed in Fallujah and rescued by US Marines was kidnapped with two French journalists in August, and has told authorities he last saw the Frenchmen a month ago -- the first confirmed word on the captives since they disappeared in August."
1,Dead bodies found in Najaf court,"At least 25 charred and bloated bodies were discovered today in the basement of a religious court set up by rebel cleric Moqtada al-Sadr in Najaf, but confusion reigns over how they died and why."
2,Democratic faithful see omens pointing to Kerry win,"A lunar eclipse. A World Series victory after 86 years for the Boston Red Sox. For the Democratic faithful, it was an unmistakable omen: Senator John Kerry, locked for weeks in a dead heat with US President George W. Bush, now had the stars on his side."
2,Lobos accept bid to the Emerald Bowl,"Senior offensive tackle Claude Terrell was the voice of dissent Tuesday in New Mexico #39;s decision to accept a bid to the Emerald Bowl, where the Lobos will try to win a bowl game for the first time in 43 years."
3,Stocks Fall as Oil Hits High (Reuters),Reuters - Exporters led a fall in Asian shares\on Monday as oil prices set new highs near  #36;47 and data showing\the U.S. trade deficit widened to a record raised fresh concern\about the health of the world's largest economy.
4,New Lawsuit Challenges Anti-Piracy Technology,"By LAURENCE FROST    PARIS (AP) -- Copy protection technologies used to prevent CDs from being pirated online are facing a legal challenge in France, where a judge began a formal investigation of record label EMI Group PLC for using them.    Confirming a report in French financial daily Les Echos, the record store Fnac said Wednesday it has also been placed under investigation by a French judge along with EMI's French arm..."
3,Hot or Cold? General Motors,"No. 1 automaker has outpaced its domestic rivals, but will GM stock keep spinning its wheels? By Chris Isidore, CNN/Money senior writer."
4,Puffins Return to Scottish Island Famous for Curling Stones,"For the first time in nearly a half-century, puffins are returning to Ailsa Craig. The Scottish island is already well-known in the sport of curling as world's the best source of curling stones."
3,Boeing tanker backers hope to save deal,"Supporters of an Air Force plan to buy 100 aerial tankers from The Boeing Co. insisted yesterday they could salvage the troubled deal, even as Congress moved to kill it and federal investigators continue to "
4,If I Only Had a Voice: A Humble Wish Upon a Drumstick,"Now that the DNA that makes a chicken a chicken had been sequenced, I'm hoping we'll learn why chickens can't sing."
4,US-Russian Crew Re-Docks Capsule,"After a 23-minute flight from the Pirs docking port to the Zarya cargo module, Russian Salizhan Sharipov and American Leroy Chiao re-docked the Soyuz TMA-5 spaceship."
2,Orgeron Introduced As Ole Miss Coach,"New Mississippi football coach Ed Orgeron answers a reporter #39;s question, in Oxford, Miss., Thursday, Dec. 16, 2004, moments after he was introduced as the new head coach."
3,Kmart Buying Sears in \$11 Billion Deal," NEW YORK (Reuters) - Discount retailer Kmart Holding Corp.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=KMRT.O target=/stocks/quickinfo/fullquote""&gt;KMRT.O&lt;/A&gt; will buy department store operator Sears, Roebuck    Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=S.N target=/stocks/quickinfo/fullquote""&gt;S.N&lt;/A&gt; in a surprise \$11 billion deal that creates the  third-largest U.S. retailer, the companies said on Wednesday."
1,Israeli officer charged over slain Gaza girl,JERUSALEM - Israel has charged an army captain who was accused of riddling a Palestinian girl #39;s body with bullets after she was already dead.
1,Palestinians Pick Up Pieces After Israeli Offensive,Palestinians picked through the rubble of dozens of homes in a sprawling refugee camp on Saturday after Israel ended its most powerful assault in the Gaza Strip in four years of bloodshed.
1,BUSH SEEKS FUNDS FOR COLOMBIA,US President George W. Bush has vowed to seek more funding for a sweeping plan to battle cocaine production and defeat heavily armed rebels in Colombia.
4,"From Storage, a New Fashion",The U.S.B. flash drive  the portable memory device also known as a thumb or keychain drive  has become both essential utility and fashion object.
2,No sign of revival for struggling Deportivo,Bad luck and bad refereeing were the explanations offered by an out-of-form Deportivo Coruna for Tuesday #39;s 2-0 defeat at Monaco in the Champions League.
2,First potential jurors to face questioning in Bryant case,"EAGLE, Colo. Lawyers in the Kobe Bryant sexual assault case will start questioning about one hundred potential jurors today. District Judge Terry Ruckriegle (RUCK #39;-ree-gull) has closed the session to the public "
2,Neeskens sacked as NEC Nijmegen coach,"Johan Neeskens has been sacked as coach of NEC Nijmegen, the struggling Dutch first division club said in a statement on Monday. NEC are 14th in the standings "
1,China plane 'flew like drunkard',A plane which plunged into a frozen lake in China killing 54 people was flying erratically moments before it crashed.
4,Microsoft To Beef Up Interoperability with Vintela Investment (NewsFactor),"NewsFactor - Microsoft (Nasdaq: MSFT) has become a minority investor in Vintela, a Utah-based maker of software that allows the Windows operating system to communicate with other software types, such as Unix, Linux or Mac OS."
2,UEFA not informed of racist chanting,UEFA have received no reports of racist chanting by Porto fans during the Champions League game against Chelsea in Portugal on Tuesday night.
4,Ownership of Anti-Spam Measure Queried at Talks (Reuters),"Reuters - Internet companies have begun to\change the way e-mail works in order to weed out spam, but\experts on Tuesday clashed over whether the underlying\technology should be controlled by any one company."
1,India's Most Wanted Bandit Killed in Shootout," BANGALORE, India (Reuters) - India's most wanted bandit,  Koose Muniswamy Veerappan, was killed Monday in a shootout with  police who have for years been hunting the smuggler who killed  more than 100 people and kidnapped a movie star."
3,Trucking Firm Takes a Tumble,Less-than-truckload shipping specialist SCS Transportation (Nasdaq: SCST) has found itself in unwanted territory -- the largest Nasdaq percentage loser.
3,USDA: Mad Cow Test Result 'Inconclusive' (Reuters),"Reuters - First-round screening tests returned\""inconclusive"" results for mad cow disease from one animal and\samples were being submitted for final and more sophisticated\analysis, the U.S. Agriculture Department said on Thursday."
4,Tsunami Prompts Online Outpouring,"In the aftermath of last week's tsunami disaster, the Internet is a tool for good and bad ... but mostly good. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-washingtonpost.com&lt;/B&gt;&lt;/FONT&gt;"
4,"Photos: Invasion of ""Half-Life 2""",Screen shots of the video game show tripods towering over crumbling cities.
2,Wenger close to new deal,Arsenal manager Arsene Wenger has revealed he expects to sign a new contract  quot;within the next few days quot;. Wenger #39;s current Highbury contract expires at the end of this season but his new deal is set to keep him at the club until at least 2008.
4,Genesis set for stellar return,A daring trip to study the solar wind will end on Wednesday with the midair retrieval of extraterrestrial samples above the Utah desert.
1,Need for carbon sink technologies,Climate scientists tell a Stockholm conference that greater efforts should be made to pull CO2 from the atmosphere.
3,Merck Looks Ahead Despite Vioxx Suits,Merck  amp; Co. officials said Tuesday they intend to defend aggressively their handling of the painkiller Vioxx against claims by patients who say they were harmed by the now-withdrawn drug.
4,Sony #39;s October surprise,"NEW YORK (CNN/Money ) - In recent weeks, analysts and pundits have filled the air with speculation that Sony would be forced to delay its entry in the handheld gaming market."
3,"US Air, Delta target executives for new cuts","Washington, Sep 30. (PTI): Embattled American airliners US Airways and Delta Airline have announced that they are targeting executives for new cuts."
3,Billabong sees big swell,ICONIC surf wear group Billabong International Ltd expects its wave of success to continue with expectations of net profit and earnings per share to rise about 20 per cent in 2004/05.
1,"Defence ; NATO, Russia Vow To Boost Anti-Terror Cooperation","The talks, on the second day of informal ministerial talks in a Romanian ski resort, were given focus by the school massacre in Beslan in September, which left as many as 350 people, most of them children, dead."
4,Netscape #39;s Official New Browser is Out,"AOL (Quote, Chart) developers have rolled out a new version of its venerable Netscape browser, version 7.2. "
1,Yemeni Poet Says He Is al-Qaida Member,"GUANTANAMO BAY NAVAL BASE, Cuba - A Yemeni poet accused of crafting al-Qaida propaganda admitted he is a member of Osama bin Laden's terror network in a dramatic appearance Thursday before a U.S. military commission..."
1,Aide to Carl the Jackal Acquitted (AP),AP - A German court on Monday acquitted a jailed aide of the terrorist Carlos the Jackal of murder in a deadly series of bombings in France in the early 1980s.
3,Big setback for Merck cholesterol drug,High doses of Zocor provide no benefits in preventing new problems in heart attack patients: study. MUNICH (Reuters) - Merck #39;s anti-cholesterol drug Zocor suffered a setback after a major study found high 
3,PRODUCT RECALLS,"-- Procter  amp; Gamble Co. of Cincinnati is recalling 175,000 SweepVacs by Swiffer Vacuum Cleaner. In some cases, when the vacuum cleaner is left in the on position, the rotor can lock up and cause the unit to overheat."
3,Disney characters on trial,Not exactly the things you #39;d like your boss to be saying about you in your performance appraisal. And wouldn #39;t it be a little embarrassing if those opinions from the boss were somehow made public 
1,Hundreds rally against terrorism,"Even as Russian President Vladimir Putin rejected any dialogue with Chechen separatists, blamed for at least 335 deaths in the school hostage siege, hundreds of thousands joined rallies against terrorism."
2,"Grizzlies 89, Nets 84","MEMPHIS, Tenn. Jason Williams had a season-high 27 points and six assists to lead the Memphis Grizzlies to an 89-to-84 win over the New Jersey Nets."
3,Treasuries Rally on Drop in August PPI, NEW YORK (Reuters) - U.S. Treasuries rallied on Friday  after a surprise drop in U.S. producer prices in August fueled  the view that the Federal Reserve might pause on its rate-hike  path after an expected rate boost later this month.
2,Trojans Hang On to Spoil Stellar Day for Cal Quarterback,"Aaron Rodgers tied an N.C.A.A. record by completing 23 consecutive passes, but he watched his last three attempts sail off target in the final minute."
4,U.S. Schools Urged to Teach Heart Education,"By JAMIE STENGLE    DALLAS (AP) -- Schools should be more aggressive in teaching children about heart disease and the risks of bad diet and little exercise, the American Heart Association said Monday.    The call for bolder action in schools follows the Institute of Medicine's recommendations last month calling for a wide-ranging attack on childhood obesity by involving parents, schools, communities and the government..."
3,Delta Updates Liquidity Needs,Delta Air Lines #39; (DAL:NYSE - news - research) future cash needs are looking greater than previously thought. Delta said Monday it will need \$135 million in liquidity in early 2006 beyond what it has already 
4,IBM OKs Partial Pension Suit Settlement (AP),AP - IBM Corp. and plaintiffs challenging the legality of its pension plan agreed to a deal Wednesday that settles most claims and caps the company's potential liability at  #36;1.7 billion. The company previously had estimated that a settlement could cost up to  #36;6.5 billion.
2,Lohse Continues Roll,"Kyle Lohse pitches seven sharp innings as the Twins beat the White Sox, 10-1, Thursday for their ninth straight victory."
2,Padres Paste Slumping Mets 4-0 (AP),"AP - Brian Lawrence escaped a bases-loaded jam in the first inning and allowed just four hits the rest of the way Wednesday night, pitching the San Diego Padres to a 4-0 victory over the slumping New York Mets."
3,SBC Communications Selects Alcatel As Primary Supplier For New &lt;b&gt;...&lt;/b&gt;,"SAN ANTONIO --(Business Wire)-- Oct. 20, 2004 -- SBC Communications Inc. (NYSE: SBC) today announced a five-year, approximately \$1."
1,Suu Kyi Proves Tricky Topic for Asia-Europe Summit, HANOI (Reuters) - Leaders from Asia and Europe pledged on  Saturday to tackle everything from climate change to terrorism  but dodged calling for the release of Myanmar democracy icon  Aung San Suu Kyi at the end of their two-day summit.
1,Winnipeg police arrest 35 people in raid on Hells Angels puppet club (Canadian Press),Canadian Press - WINNIPEG (CP) - Winnipeg police have arrested 35 alleged members and associates of a gang with close ties to the Hells Angels in a raid they believe will put a significant dent in the group's drug operation.
4,Kicking and screaming,It appears software vendors and their customers are at opposite ends of the spectrum when it comes to newfangled licensing techniques.
1,"Australia #39;s Voters to Choose Between Howard, Latham (Update1)","Australian Prime Minister John Howard is seeking a fourth term in power at today #39;s election, promising to extend 13 years of economic growth and keep mortgage rates low."
3,Hurricane Damage to Hurt Allstate Profit," NEW YORK (Reuters) - Allstate Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ALL.N target=/stocks/quickinfo/fullquote""&gt;ALL.N&lt;/A&gt;, the No. 2 U.S.  home and auto insurer, warned on Wednesday its third-quarter  profits would fall well short of expectations due to more than  \$1 billion in hurricane-related payouts."
4,Virginia Gets New Tech Chief,"After nearly three years as deputy secretary of technology for the commonwealth of Virginia, Eugene Huang next week will step up to be Gov."
4,Price at Issue With PlayStation Portable,"Sony Corp. #39;s PlayStation Portable, which goes on sale in Japan later this year and overseas next spring, boasts the superb image quality of its home-console counterpart."
4,Global Chip Sales Rose 1.5 in October,"Worldwide semiconductor sales rose a scant 1.5 percent in October, to \$18.8 billion from \$18.5 billion in September, as many chip users pared inventories."
3,"Consumers Cheer Up, Budget Deficit Swells"," CHICAGO (Reuters) - U.S. consumers' mood brightened in  early December, which may bode well for retailers in the key  holiday shopping season, a survey showed on Friday."
2,Keller leads relay upset of Aussies,"ATHENS - Klete Keller says he likes to run with the bulls. Talks a little bull, too. But he doesn #39;t kid around in the water. "
4,Study Shows Golf Courses Good for Birds (AP),"AP - A new study shows that golf courses can be good homes for more than one kind of birdie. The study by South Carolina researchers tracked bird mating seasons for two years on 24 golf courses along the Grand Strand. The study found that natural vegetation on the region's courses increases the bird population and variety of birds, as well as drawing other animals."
1,California Diocese Settles Abuse Cases for Record Amount,"The Roman Catholic Diocese of Orange County, Calif., has reached a settlement with 87 victims of abuse by priests and lay employees that includes the largest payment ever agreed to by the church."
4,Microsoft unveils Works 8,"The dictionary module has been integrated into the word processor and is also a stand-alone application in the Works Task Launcher. A thesaurus has been included, as well as the option to set parental controls. "
3,NETHERLANDS: Ahold says Q3 loss highlights  #39;year of transition #39;,"Dutch retail giant Ahold has reported a third-quarter net loss, as its results were impacted by exceptional costs and asset impairment charges."
4,Charley a Harbinger of Busy Hurricane Season?,"But Hurricane Charley intensified at an astonishing rate just a few hours before making landfall, and its eye wobbled off its forecast track and smashed ashore about 70 miles (112 kilometers) south of Tampa, killing at least 21. It became the most ..."
3,Unions rally resistance at Jaguar,Unions hold emergency meetings with workers at Jaguar's doomed Browns Lane plant in Coventry to fight closure plans.
4,GTA - training game for murderers?,"On Friday, Grand Theft Auto, perhaps the most notorious of the shoot-em-up computer game genre, upped the ante again. After months of slavering speculation, its newest incarnation, Grand Theft Auto: San Andreas, was officially released."
3,Update 1: Virgin in Talks With Chinese Telecom Firm,British conglomerate Virgin Group Ltd. announced Tuesday that it is in talks with a mainland Chinese telecommunications company to set up a joint venture to provide mobile services in China.
2,Preview: England-Ukraine,"With 17 days to go before their World Cup qualifying campaign begins, England are back in action with plenty to prove after the disappointment of Euro 2004 elimination. "
1,Envoys bid to end Ukraine crisis,The EU's Javier Solana and other envoys go to Ukraine to try to mediate in the crisis over the disputed election.
3,EU approves Oracle #39;s pursuit of Peoplesoft,"The European Commission approved Oracle #39;s proposed \$7.7 billion hostile takeover of rival software company PeopleSoft on Tuesday, knocking down the last competition hurdle to the deal."
1,Cat Stevens sparks US alert,A London-to-Washington flight is diverted after a security alert involving the singer formerly known as Cat Stevens.
1,Iraqi President Faults Army #39;s Dissolution,"The interim president of Iraq, Ghazi al-Yawer, says the US-led coalition made a big mistake when it disbanded the Iraqi armed forces after last year #39;s invasion to topple Saddam Hussein."
4,Americans Win Gold at World Cyber Games (AP),"AP - Amid fanfare fit for actual world-class athletes, five Americans with really quick fingers took home the gold medal in the popular ""Counter Strike"" competition of the World Cyber Games championships, capping five days of intense gaming by the world's elite."
4,First Encrypted Desktop-to-Desktop Messaging Service,"As a completely managed service, FrontBridge is able to implement an encrypted email solution rapidly, without the typical implementation challenges or up front capital investment required from an organization."
2,Early Elimination Round,"For the loser of this Saturday's Maryland-North Carolina State game, both at 3-2, the bowl season may be an unreachable destination."
4,"Calif. OKs Anti-Spyware, Swapping Laws (AP)",AP - Gov. Arnold Schwarzenegger has signed separate legislation designed to combat spyware and the illegal online swapping of copyright material.
3,"Trump: Casino Firm In Chap. 11, But  #39;Apprentice #39; Star Stays CEO","Half-empty or half-full is a matter of perspective; and it helps when the goblet in question is grasped by Donald Trump. The billionaire #39;s eponymous firm, Trump Hotels  amp; Casino Resorts (otc: DJTC - news - people "
3,Business as usual for ATA despite bankruptcy filing,"Although the future of ATA Airlines Inc. remains up in the air, planes still were landing Wednesday at the Quad-City International Airport and tickets still were selling, the airports aviation director said."
2,"West: Without Shaq, who #39;s best?","Plenty of Western Conference teams are capable of filling the Los Angeles Lakers #39; role as favorites, but none seem suited to fill the time slot occupied by  quot;Days of our Lakers."
2,Phillip Island shapes as star #39;s crowning glory,ITALIAN superstar Valentino Rossi could wrap up his fourth consecutive championship in the premier motorcycle class at Phillip Island this weekend.
4,"All of a Sudden, the Neighborhood Looks a Lot Friendlier",These are hopeful times for those who like to think the prospects of life elsewhere are good.
1,Typhoon hits Japanese coast,"The most powerful typhoon to barrel into Japan #39;s Pacific coastline in a decade made its landfall on Saturday. It unleashed gales and blinding sheets of rain that ground planes, flood homes and set off mudslides."
3,Job Gains Strongest in Seven Months," WASHINGTON (Reuters) - The number of new U.S. jobs soared  at the sharpest rate in seven months in October, the government  reported on Friday, helped by a surge in construction activity  as hurricane-racked areas in the Southeast were rebuilt."
3,GE 3rd-Quarter Net Rises as Immelt Spurs Sales Growth (Update2),"General Electric Co., the world #39;s largest company by market value, said third-quarter profit rose 11 percent as acquisitions and economic growth spurred the biggest quarterly sales increase in four years."
4,SCO caps legal costs as losses mount,"The SCO Group is looking to cut expenses to make sure it has enough cash to push its lawsuit with IBM, the company announced during its third-quarter earnings conference call yesterday."
3,Interstate Bakeries Not Mulling Bankruptcy,"Interstate Bakeries, the maker of Wonder Bread, Hostess Twinkies and other baked goods, denied conjecture that it would be filing for bankruptcy."
4,Oracle exec upbeat about China's RFID plans,"Despite lingering fears of incompatibility between China's upcoming RFID (radio frequency identification) standard and international standards, the Chinese government's plans to impose a mandatory standard for RFID are unlikely to result in sharply higher costs for companies that use the technology, according to an Oracle Corp. executive.&lt;p&gt;ADVERTISEMENT&lt;/p&gt;&lt;p&gt;&lt;img src=""http://ad.doubleclick.net/ad/idg.us.ifw.general/sbcspotrssfeed;sz=1x1;ord=200301151450?"" width=""1"" height=""1"" border=""0""/&gt;&lt;a href=""http://ad.doubleclick.net/clk;9228975;9651165;a?http://www.infoworld.com/spotlights/sbc/main.html?lpid0103035400730000idlp""&gt;SBC Case Study: Crate   Barrel&lt;/a&gt;&lt;br/&gt;What sold them on improving their network? A system that could cut management costs from the get-go. Find out more.&lt;/p&gt;"
2,Long day for Sharapova,Tokyo - Wimbledon champion Maria Sharapova had a long day along with 2002 Wimbledon finalists Lleyton Hewitt and David Nalbandian in their first matches at the Japan Open tennis tournament on Wednesday.
3,R Dutch/Shell gives itself breathing space,"Royal Dutch/Shell, which this year had to postpone its annual report and shareholder meetings while it grappled with its sinking reserves figures, has taken precautions to avoid similar embarrassment in 2005."
1,Hamburg Court Delays 9/11 Trial by One Week," HAMBURG, Germany (Reuters) - A German court ordered on  Tuesday a week's delay in the trial of Mounir El Motassadeq, a  Moroccan accused of aiding the Sept. 11 attacks, allowing time  to brief a replacement for a defense lawyer hurt in an  accident."
4,Salesforce.com expands call center support,"SEPTEMBER 29, 2004 (IDG NEWS SERVICE) - Hosted CRM evangelist Salesforce.com Inc. began a new branding campaign this week to draw attention to its customer service support functionality, launching a new Web "
2,Oakland Hills Now Seen As Golf Mecca (AP),"AP - BLOOMFIELD TOWNSHIP, Mich.  #151; Oakland Hills' place in golf history was secure before the Ryder Cup arrived."
3,Calpers Boardroom Reformer Shown the Door,"The ouster of the president of the California Public Employees #39; Retirement System comes amid a growing backlash against corporate reform, but shareholder advocates expect the move to have little direct effect on the corporate governance movement."
4,"Did the First Americans Come From, Er, Australia? (Reuters)","Reuters - Anthropologists stepped into a\hornets' nest on Monday, revealing research that suggests the\original inhabitants of America may in fact have come from what\is now known as Australia."
3,"Microsoft, Sendo Settle Smart-Phone Dispute",Software giant Microsoft Corp. and UK-based cell phone maker Sendo Holdings plc. on Monday reached a settlement to their intellectual property dispute over a failed smart-phone partnership between the two companies.
4,Cisco fabric switches optimized for SAN extension,"Cisco Systems has added two products to its award-winning Cisco MDS 9000 Family of Multilayer Intelligent directors and fabric switches optimized for transporting storage area network (SAN) traffic outside of the data center, which make them ideally "
4,"Canada to Protect Slug, Whale, Endangered Species (Reuters)","Reuters - The North Atlantic\right whale, western wolverine and the dromedary jumping-slug\on Canada's Pacific coast will soon share a dubious\distinction."
1,A Blog as Big as Texas,The  quot;Missing Iraq Explosives quot; pseudo-scandal appears to be falling apart by the hour. Most recent developments are as follows: Russian special forces troops moved many of Saddam Hussein #39;s weapons and related 
3,"Delta Aims to Cut Jobs 12, Drop a Hub and Reduce Pay","Delta Air Lines said it would cut 12 percent of its work force and said a bankruptcy filing was a real possibility."""
1,Iraq says top Zarqawi aide arrested in Mosul,"BAGHDAD (AFP) - One of the leaders of the top US foe in Iraq , Abu Musab al-Zarqawi, was arrested in the northern city of Mosul, national security adviser Qassem Daoud said."
1,Al-Jazeera Says Will Play Bin Laden Tape (AP),AP - The Arab television station Al-Jazeera said Friday it would broadcast a tape from al-Qaida leader Osama bin Laden on an evening newscast.
